,,,,,Gösch,Zusatzelemente außerhalb des Gösch,Kreisstruktur,Welche Himmelskörper?,Wie viel Sterne?,Formation Sterne,Formation Mond mit Stern(en),Einfarbige Figur Kategorie,Wo?,Farbe (Kreis bzw. Zusatzelement),Farbe Zusatzelement im Kreis,Farbe Zusatzelement im Gösch
../images/pictures/flags96/Burkina_Faso.jpg,,Burkina_Faso,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Burundi.jpg,,Burundi,,,x,Klar farbig abgegrenzter Kreis mit eventuell noch was drin,Nur Himmelskörper,Sterne,3,Dreieck,x,x,Mitte,Farbe,Farbe,x
../images/pictures/flags96/Cambodia.jpg,,Cambodia,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Gebäude,Mitte,Farbe,x,x
../images/pictures/flags96/Cameroon.jpg,,Cameroon,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Canada.jpg,,Canada,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Pflanze,Mitte,Farbe,x,x
../images/pictures/flags96/Cape_Verde.jpg,,Cape_Verde,,,x,Nur Himmelskörper,x,Sterne,10,Kreis,x,x,Links unten,Farbe,x,x
../images/pictures/flags96/Cayman_Islands.jpg,,Cayman_Islands,,,Union Jack,Komplexes Emblem,x,x,x,x,x,x,Rechts mittig,x,x,Farbe
../images/pictures/flags96/Central_African_Republic.jpg,,Central_African_Republic,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Links oben,Farbe,x,x
../images/pictures/flags96/Chile.jpg,,Chile,,,Stern,Keine,x,x,x,x,x,x,x,x,x,Farbe
../images/pictures/flags96/China.jpg,,China,,,x,Nur Himmelskörper,x,Sterne,5,Anders,x,x,Links oben,Farbe,x,x
../images/pictures/flags96/Comoros.jpg,,Comoros,,,x,Nur Himmelskörper,x,Mond und Sterne,4,Senkrecht,Nach rechts offen,x,Links mittig,Farbe,x,x
../images/pictures/flags96/Cook_Islands.jpg,,Cook_Islands,,,Union Jack,Nur Himmelskörper,x,Sterne,15,Kreis,x,x,Rechts mittig,Farbe,x,Farbe
../images/pictures/flags96/Costa_Rica.jpg,,Costa_Rica,,,x,Komplexes Emblem,x,x,x,x,x,x,Links mittig,x,x,x
../images/pictures/flags96/Croatia.jpg,,Croatia,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Cuba.jpg,,Cuba,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Links mittig,Farbe,x,x
../images/pictures/flags96/Cyprus.jpg,,Cyprus,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Democratic_Republic_of_the_Congo.jpg,,Democratic_Republic_of_the_Congo,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Links oben,Farbe,x,x
../images/pictures/flags96/Djibouti.jpg,,Djibouti,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Links mittig,Farbe,x,x
../images/pictures/flags96/Dominica.jpg,,Dominica,,,x,Klar farbig abgegrenzter Kreis mit eventuell noch was drin,Komplexes Emblem,x,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Dominican_Republic.jpg,,Dominican_Republic,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/East_Timor.jpg,,East_Timor,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Links mittig,Farbe,x,x
../images/pictures/flags96/Ecuador.jpg,,Ecuador,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Egypt.jpg,,Egypt,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Tier,Mitte,Farbe,x,x
../images/pictures/flags96/El_Salvador.jpg,,El_Salvador,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Equatorial_Guinea.jpg,,Equatorial_Guinea,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Eritrea.jpg,,Eritrea,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Pflanze,Links mittig,Farbe,x,x
../images/pictures/flags96/Ethiopia.jpg,,Ethiopia,,,x,Klar farbig abgegrenzter Kreis mit eventuell noch was drin,Komplexes Emblem,x,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Fiji.jpg,,Fiji,,,Union Jack,Komplexes Emblem,x,x,x,x,x,x,Rechts mittig,x,x,Farbe
../images/pictures/flags96/Georgia.jpg,,Georgia,,,x,Mehrere einfarbige Figuren (nicht ausschließlich Himmelselemente) gleicher Farbe (Umrandung zählt nicht),x,x,x,x,x,x,Verteilt,Farbe,x,x
../images/pictures/flags96/Ghana.jpg,,Ghana,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Greece.jpg,,Greece,,,Kreuz,Keine,x,x,x,x,x,x,x,x,x,Farbe
../images/pictures/flags96/Greenland.jpg,,Greenland,,,x,Klar farbig abgegrenzter Kreis mit eventuell noch was drin,Der Kreis ist zweigeteilt,x,x,x,x,x,Links mittig,Farbe,x,x
../images/pictures/flags96/Grenada.jpg,,Grenada,,,x,Mehrere einfarbige Figuren (nicht ausschließlich Himmelselemente) gleicher Farbe (Umrandung zählt nicht),x,x,x,x,x,x,Verteilt,Farbe,x,x
../images/pictures/flags96/Guam.jpg,,Guam,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Guatemala.jpg,,Guatemala,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Guinea-Bissau.jpg,,Guinea-Bissau,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Links mittig,Farbe,x,x
../images/pictures/flags96/Haiti.jpg,,Haiti,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Honduras.jpg,,Honduras,,,x,Nur Himmelskörper,x,Sterne,5,H,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Hong_Kong.jpg,,Hong_Kong,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/India.jpg,,India,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Abstraktes Symbol,Mitte,Farbe,x,x
../images/pictures/flags96/Iran.jpg,,Iran,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Abstraktes Symbol,Mitte,Farbe,x,x
../images/pictures/flags96/Iraq.jpg,,Iraq,,,x,Mehrere einfarbige Figuren (nicht ausschließlich Himmelselemente) gleicher Farbe (Umrandung zählt nicht),x,x,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Israel.jpg,,Israel,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Japan.jpg,,Japan,,,x,Klar farbig abgegrenzter Kreis mit eventuell noch was drin,Nichts,x,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Jordan.jpg,,Jordan,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Links mittig,Farbe,x,x
../images/pictures/flags96/Kazakhstan.jpg,,Kazakhstan,,,x,Mehrere einfarbige Figuren (nicht ausschließlich Himmelselemente) gleicher Farbe (Umrandung zählt nicht),x,x,x,x,x,x,Verteilt,Farbe,x,x
../images/pictures/flags96/Kenya.jpg,,Kenya,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Kiribati.jpg,,Kiribati,,,x,Mehrere einfarbige Figuren (nicht ausschließlich Himmelselemente) gleicher Farbe (Umrandung zählt nicht),x,x,x,x,x,x,Oben mittig,Farbe,x,x
../images/pictures/flags96/Kyrgyzstan.jpg,,Kyrgyzstan,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Abstraktes Symbol,Mitte,Farbe,x,x
../images/pictures/flags96/Laos.jpg,,Laos,,,x,Klar farbig abgegrenzter Kreis mit eventuell noch was drin,Nichts,x,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Lebanon.jpg,,Lebanon,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Pflanze,Mitte,Farbe,x,x
../images/pictures/flags96/Lesotho.jpg,,Lesotho,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Gegenstand,Mitte,Farbe,x,x
../images/pictures/flags96/Liberia.jpg,,Liberia,,,Stern,Keine,x,x,x,x,x,x,x,x,x,Farbe
../images/pictures/flags96/Libya.jpg,,Libya,,,x,Nur Himmelskörper,x,Mond und Stern,x,x,Nach rechts offen,x,Mitte,Farbe,x,x
../images/pictures/flags96/Liechtenstein.jpg,,Liechtenstein,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Gegenstand,Links oben,Farbe,x,x
../images/pictures/flags96/Malawi.jpg,,Malawi,,,x,Nur Himmelskörper,x,Sonne,x,x,x,x,Oben mittig,Farbe,x,x
../images/pictures/flags96/Malaysia.jpg,,Malaysia,,,Mond + Stern,Keine,x,x,x,x,x,x,x,x,x,Farbe
../images/pictures/flags96/Maldives.jpg,,Maldives,,,x,Nur Himmelskörper,x,Mond,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Malta.jpg,,Malta,,,x,Komplexes Emblem,x,x,x,x,x,x,Links oben,x,x,x
https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_the_Marshall_Islands.svg/330px-Flag_of_the_Marshall_Islands.svg.png,,Marshall Islands,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Links oben,Farbe,x,x
../images/pictures/flags96/Mauritania.jpg,,Mauritania,,,x,Nur Himmelskörper,x,Mond und Stern,x,x,Nach oben offen,x,Mitte,Farbe,x,x
../images/pictures/flags96/Mexico.jpg,,Mexico,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg/330px-Flag_of_the_Federated_States_of_Micronesia.svg.png,,Micronesia,,,x,Nur Himmelskörper,x,Sterne,4,Anders,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Moldova.jpg,,Moldova,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Mongolia.jpg,,Mongolia,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Gebäude,Links mittig,Farbe,x,x
../images/pictures/flags96/Montenegro.jpg,,Montenegro,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Morocco.jpg,,Morocco,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Mozambique.jpg,,Mozambique,,,x,Komplexes Emblem,x,x,x,x,x,x,Links mittig,x,x,x
../images/pictures/flags96/Myanmar.jpg,,Myanmar,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Namibia.jpg,,Namibia,,,x,Nur Himmelskörper,x,Sonne,x,x,x,x,Links oben,Farbe,x,x
../images/pictures/flags96/Nauru.jpg,,Nauru,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Links unten,Farbe,x,x
../images/pictures/flags96/Nepal.jpg,,Nepal,,,x,Nur Himmelskörper,x,"Mond, Sonne und Stern",x,x,Nach oben offen,x,Links mittig,Farbe,x,x
../images/pictures/flags96/New_Caledonia.jpg,,New_Caledonia,,,x,Klar farbig abgegrenzter Kreis mit eventuell noch was drin,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,Abstraktes Symbol,Links mittig,Farbe,Farbe,x
../images/pictures/flags96/New_Zealand.jpg,,New_Zealand,,,Union Jack,Nur Himmelskörper,x,Sterne,4,Anders,x,x,Rechts mittig,Farbe,x,Farbe
../images/pictures/flags96/Nicaragua.jpg,,Nicaragua,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Niger.jpg,,Niger,,,x,Klar farbig abgegrenzter Kreis mit eventuell noch was drin,Nichts,x,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/North_Korea.jpg,,North_Korea,,,x,Klar farbig abgegrenzter Kreis mit eventuell noch was drin,Nur Himmelskörper,1 Stern,x,x,x,x,Links mittig,Farbe,Farbe,x
../images/pictures/flags96/Oman.jpg,,Oman,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Komplexes Emblem,Links oben,Farbe,x,x
../images/pictures/flags96/Pakistan.jpg,,Pakistan,,,x,Nur Himmelskörper,x,Mond und Stern,x,x,Nach rechts oben offen,x,Rechts mittig,Farbe,x,x
../images/pictures/flags96/Palau.jpg,,Palau,,,x,Klar farbig abgegrenzter Kreis mit eventuell noch was drin,Nichts,x,x,x,x,x,Links mittig,Farbe,x,x
../images/pictures/flags96/Panama.jpg,,Panama,,,x,Nur Himmelskörper,x,Sterne,2,Diagonale Reihe,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Papua_New_Guinea.jpg,,Papua_New_Guinea,,,x,Komplexes Emblem,x,x,x,x,x,x,Verteilt,x,x,x
../images/pictures/flags96/Paraguay.jpg,,Paraguay,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Philippines.jpg,,Philippines,,,x,Nur Himmelskörper,x,Sonne und Sterne,4,x,x,x,Links mittig,Farbe,x,x
../images/pictures/flags96/Portugal.jpg,,Portugal,,,x,Komplexes Emblem,x,x,x,x,x,x,Links mittig,x,x,x
../images/pictures/flags96/Puerto_Rico.jpg,,Puerto_Rico,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Links mittig,Farbe,x,x
../images/pictures/flags96/Rwanda.jpg,,Rwanda,,,x,Nur Himmelskörper,x,Sonne,x,x,x,x,Rechts oben,Farbe,x,x
../images/pictures/flags96/Saint_Kitts_and_Nevis.jpg,,Saint_Kitts_and_Nevis,,,x,Nur Himmelskörper,x,Sterne,2,Diagonale Reihe,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Saint_Lucia.jpg,,Saint_Lucia,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Saint_Vincent_and_the_Grenadines.jpg,,Saint_Vincent_and_the_Grenadines,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Abstraktes Symbol,Mitte,Farbe,x,x
../images/pictures/flags96/Samoa.jpg,,Samoa,,,Sterne,Keine,x,x,x,x,x,x,x,x,x,Farbe
../images/pictures/flags96/San_Marino.jpg,,San_Marino,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Sao_Tome_and_Principe.jpg,,Sao_Tome_and_Principe,,,x,Nur Himmelskörper,x,Sterne,2,Nebeneinander,x,x,Rechts mittig,Farbe,x,x
../images/pictures/flags96/Saudi_Arabia.jpg,,Saudi_Arabia,,,x,Mehrere einfarbige Figuren (nicht ausschließlich Himmelselemente) gleicher Farbe (Umrandung zählt nicht),x,x,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Senegal.jpg,,Senegal,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Serbia.jpg,,Serbia,,,x,Komplexes Emblem,x,x,x,x,x,x,Links mittig,x,x,x
../images/pictures/flags96/Singapore.jpg,,Singapore,,,x,Nur Himmelskörper,x,Mond und Sterne,5,Kreis,Nach rechts offen,x,Links oben,Farbe,x,x
../images/pictures/flags96/Slovakia.jpg,,Slovakia,,,x,Komplexes Emblem,x,x,x,x,x,x,Links mittig,x,x,x
../images/pictures/flags96/Slovenia.jpg,,Slovenia,,,x,Komplexes Emblem,x,x,x,x,x,x,Links oben,x,x,x
../images/pictures/flags96/Solomon_Islands.jpg,,Solomon_Islands,,,x,Nur Himmelskörper,x,Sterne,5,H,x,x,Links oben,Farbe,x,x
../images/pictures/flags96/Somalia.jpg,,Somalia,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/South_Korea.jpg,,South_Korea,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/South_Sudan.jpg,,South_Sudan,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Links mittig,Farbe,x,x
../images/pictures/flags96/Spain.jpg,,Spain,,,x,Komplexes Emblem,x,x,x,x,x,x,Links mittig,x,x,x
../images/pictures/flags96/Sri_Lanka.jpg,,Sri_Lanka,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Tier,Rechts mittig,Farbe,x,x
../images/pictures/flags96/Suriname.jpg,,Suriname,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Swaziland.jpg,,Swaziland,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Switzerland.jpg,,Switzerland,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Abstraktes Symbol,Mitte,Farbe,x,x
../images/pictures/flags96/Syria.jpg,,Syria,,,x,Nur Himmelskörper,x,Sterne,2,Nebeneinander,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Taiwan.jpg,,Taiwan,,,Sonne,Keine,x,x,x,x,x,x,x,x,x,Farbe
../images/pictures/flags96/Tajikistan.jpg,,Tajikistan,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Komplexes Emblem,Mitte,Farbe,x,x
../images/pictures/flags96/Togo.jpg,,Togo,,,Stern,Keine,x,x,x,x,x,x,x,x,x,Farbe
../images/pictures/flags96/Tonga.jpg,,Tonga,,,Kreuz,Keine,x,x,x,x,x,x,x,x,x,Farbe
../images/pictures/flags96/Tunisia.jpg,,Tunisia,,,x,Klar farbig abgegrenzter Kreis mit eventuell noch was drin,Nur Himmelskörper,Mond und Stern,x,x,Nach rechts offen,x,Mitte,Farbe,Farbe,x
../images/pictures/flags96/Turkey.jpg,,Turkey,,,x,Nur Himmelskörper,x,Mond und Stern,x,x,Nach rechts offen,x,Links mittig,Farbe,x,x
../images/pictures/flags96/Turkmenistan.jpg,,Turkmenistan,,,x,Komplexes Emblem,x,x,x,x,x,x,Links mittig,x,x,x
../images/pictures/flags96/Tuvalu.jpg,,Tuvalu,,,Union Jack,Nur Himmelskörper,x,Sterne,9,Anders,x,x,Rechts mittig,Farbe,x,Farbe
../images/pictures/flags96/Uganda.jpg,,Uganda,,,x,Klar farbig abgegrenzter Kreis mit eventuell noch was drin,Komplexes Emblem,x,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/United_States.jpg,,United_States,,,Sterne,Keine,x,x,x,x,x,x,x,x,x,Farbe
../images/pictures/flags96/Uruguay.jpg,,Uruguay,,,Sonne,Keine,x,x,x,x,x,x,x,x,x,Farbe
../images/pictures/flags96/Uzbekistan.jpg,,Uzbekistan,,,x,Nur Himmelskörper,x,Mond und Sterne,12,Anders,Nach rechts offen,x,Links oben,Farbe,x,x
../images/pictures/flags96/Vanuatu.jpg,,Vanuatu,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Abstraktes Symbol,Links mittig,Farbe,x,x
../images/pictures/flags96/Venezuela.jpg,,Venezuela,,,x,Nur Himmelskörper,x,Sterne,8,Halbkreis,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Vietnam.jpg,,Vietnam,,,x,Nur Himmelskörper,x,1 Stern,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Wales.jpg,,Wales,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Tier,Mitte,Farbe,x,x
../images/pictures/flags96/Zambia.jpg,,Zambia,,,x,Komplexes Emblem,x,x,x,x,x,x,Rechts mittig,x,x,x
../images/pictures/flags96/Zimbabwe.jpg,,Zimbabwe,,,x,Komplexes Emblem,x,x,x,x,x,x,Links mittig,x,x,x
