Land-ID,Version,Flagge,Name,Generieren,ShapeId,Hinweistext,Tmp 1,Tmp 2,Signatur,Clustergröße,Rechtwinklig?,Rahmen?,Gösch?,Dreieck von links?,Die Dreiecksform(en) bestehen aus wie vielen Farben?,Hintergrundtyp,W-Streifen,3W,5W,S-Streifen,S-Anordnung,Kreuzausrichtung,Kreuzarme,Diagonal Richtung,Diagonal Anzahl Streifen,SW Streifen,Spezial,Hintergrundfarben,E1,E1 Position,E1 Farbe,E1 Anzahl,E2,E2 Position,E2 Farbe,E2 Anzahl,E3,E3 Position,E3 Farbe,E3 Anzahl,E4,E4 Position,E4 Farbe,E4 Anzahl,Gösch Farbe,Dreieck Farbe,Rahmen Farbe,Emblem,,
11,,,Armenien,1,,,,,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,Rot|Blau|Gelb (Orange),Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
12,,,Aserbaidschan,1,,,,,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,Hellblau|Rot|Grün,Mond,4,Weiß,x,Stern,4,Weiß,1,x,x,x,x,x,x,x,x,x,x,x,,,
13,,,Äthiopien,1,,,,,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,Grün|Gelb|Rot,Kreis,4,Blau,x,Stern,4,Gelb,1,x,x,x,x,x,x,x,x,x,x,x,,,
14,,,Australien,1,,,,,1|0|1|0|x|4|x|x|x|x|x|x|x|x|x|x|x,10,1,0,1,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Blau,Stern,9,Weiß,6,Union Jack,0,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
15,,,Bahamas,1,,,,,1|0|0|1|1|0|3|0|x|x|x|x|x|x|x|x|x,6,1,0,0,1,1,0,3,0,x,x,x,x,x,x,x,x,x,Hellblau|Gelb|Hellblau,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Schwarz,x,,,
16,,,Bahrain,1,small|3622|1299,,,,1|0|0|0|x|7|x|x|x|x|x|x|x|x|x|x|1,2,1,0,0,0,x,7,x,x,x,x,x,x,x,x,x,x,1,Weiß|Rot,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
17,,,Bangladesch,1,,,,,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Grün,Kreis,3,Rot,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
18,,,Barbados,1,small|1830|1556,,,,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,Blau|Gelb|Blau,Dreizack,4,Schwarz,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
19,,,Belarus,1,Weißrussland,,,,1|0|0|0|x|0|2|x|x|x|x|x|x|x|x|x|x,13,1,0,0,0,x,0,2,x,x,x,x,x,x,x,x,x,x,Rot|Grün,Muster,3 (0|6),&Weiß,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
20,,,Belgien,1,,,,,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,Schwarz|Gelb|Rot,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
21,,,Belize,1,,,,,1|0|0|0|x|0|3|1|x|x|x|x|x|x|x|x|x,8,1,0,0,0,x,0,3,1,x,x,x,x,x,x,x,x,x,Rot|Blau|Rot,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Hammer|Paddel|Axt|Säge|Schild|Segelschiff|Mahagonibaum|Sexy Men,Sub Umbra Floreo,
22,,,Benin,1,,,,,1|0|0|0|x|5|x|x|x|x|x|x|x|x|x|2|x,3,1,0,0,0,x,5,x,x,x,x,x,x,x,x,x,2,x,Grün|Gelb|Rot,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
23,,,Bermuda,1,middle small|1818|1153,,,,1|0|1|0|x|4|x|x|x|x|x|x|x|x|x|x|x,10,1,0,1,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Rot,Union Jack,0,x,x,Emblem,5,x,x,x,x,x,x,x,x,x,x,x,x,x,QUO FATA FERUNT|Schiff|Schild|Löwe,,
24,,,Bhutan,1,,,,,1|0|0|x|x|3|x|x|x|x|x|x|x|0|0|x|x,1,1,0,0,x,x,3,x,x,x,x,x,x,x,0,0,x,x,Gelb|Orange,Drache,4,Weiß,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,Land des Donnerdrachens in Landessprache,
25,,,Bolivien,1,,,,,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,Rot|Gelb|Grün,Emblem (Keine),4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
26,,,Bosnien und Herzegowina,1,,,,,1|0|0|0|x|7|x|x|x|x|x|x|x|x|x|x|2,1,1,0,0,0,x,7,x,x,x,x,x,x,x,x,x,x,2,Blau|Gelb,Stern,9,Weiß,9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
27,,,Botswana,1,,,,,1|0|0|0|x|0|5|x|3-1-2-1-3|x|x|x|x|x|x|x|x,1,1,0,0,0,x,0,5,x,3-1-2-1-3,x,x,x,x,x,x,x,x,Hellblau|Weiß|Schwarz|Weiß|Hellblau,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
28,,,Brasilien,1,,,,,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Grün,Raute,4,Gelb,x,Kreis,4,Blau,x,Schrift,4,Grün,x,Stern,4,Weiß,27,x,x,x,Ordem e Progresso,,
29,,,Brunei,1,small|4718|1733,,,,1|0|0|x|x|3|x|x|x|x|x|x|x|1|2|x|x,1,1,0,0,x,x,3,x,x,x,x,x,x,x,1,2,x,x,Gelb|Weiß|Schwarz|Gelb,Emblem,4,Rot,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Sentiasa Membuat Kebajikan Dengan Petunjuk Allah,,
30,,,Bulgarien,1,,,,,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,Weiß|Grün|Rot,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
31,,,Burkina Faso,1,,,,,1|0|0|0|x|0|2|x|x|x|x|x|x|x|x|x|x,13,1,0,0,0,x,0,2,x,x,x,x,x,x,x,x,x,x,Rot|Grün,Stern,4,Gelb,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
32,,,Burundi,1,,,,,1|0|0|x|x|2|x|x|x|x|x|1|0|x|x|x|x,3,1,0,0,x,x,2,x,x,x,x,x,1,0,x,x,x,x,Rot|Grün|Rot|Grün|Weiß,Kreis,4,Weiß,x,Stern,4,Rot,3,x,x,x,x,x,x,x,x,x,x,x,,,
33,,,Chile,1,,,,,1|0|1|0|x|0|2|x|x|x|x|x|x|x|x|x|x,1,1,0,1,0,x,0,2,x,x,x,x,x,x,x,x,x,x,Weiß|Rot,Stern,0,Weiß,1,x,x,x,x,x,x,x,x,x,x,x,x,Blau,x,x,,,
34,,,China,1,,,,,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Rot,Stern,0,Gelb,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
35,,,Cookinseln,1,,,,,1|0|1|0|x|4|x|x|x|x|x|x|x|x|x|x|x,10,1,0,1,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Blau,Union Jack,0,x,x,Stern,5 (9),Weiß,15,x,x,x,x,x,x,x,x,x,x,x,,,
36,,,Costa Rica,1,,,,,1|0|0|0|x|0|5|x|1-1-2-1-1|x|x|x|x|x|x|x|x,3,1,0,0,0,x,0,5,x,1-1-2-1-1,x,x,x,x,x,x,x,x,Blau|Weiß|Rot|Weiß|Blau,Keine (Emblem),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Vulkane|Segelschiff (Dreimaster)|Wimpel|Blätter|Band|Name der Nation|SterneSonne,,
37,,,Dänemark,1,,,,,1|0|0|x|x|2|x|x|x|x|x|0|0|x|x|x|x,6,1,0,0,x,x,2,x,x,x,x,x,0,0,x,x,x,x,Rot|Rot|Rot|Rot|Weiß,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
38,,,Demokratische Republik Kongo,1,,,,,1|0|0|x|x|3|x|x|x|x|x|x|x|0|3|x|x,4,1,0,0,x,x,3,x,x,x,x,x,x,x,0,3,x,x,Hellblau|Gelb|Rot|Gelb|Hellblau,Stern,0,Gelb,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
39,,,Deutschland,1,,,,,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,Schwarz|Rot|Gelb,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
40,,,Dominica,1,small|1805|1508,,,,1|0|0|x|x|2|x|x|x|x|x|0|1|x|x|x|x,1,1,0,0,x,x,2,x,x,x,x,x,0,1,x,x,x,x,Grün|Gelb|Schwarz|Weiß,Kreis,4,Rot,x,Vogel,4,x,x,Stern,4,Grün,10,x,x,x,x,x,x,x,,,
41,,,Dominikanische Republik,1,,,,,1|0|0|x|x|2|x|x|x|x|x|0|0|x|x|x|x,6,1,0,0,x,x,2,x,x,x,x,x,0,0,x,x,x,x,Blau|Rot|Blau|Rot|Weiß,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
42,,,Dschibuti,1,,,,,1|0|0|1|1|0|2|x|x|x|x|x|x|x|x|x|x,3,1,0,0,1,1,0,2,x,x,x,x,x,x,x,x,x,x,Hellblau|Grün,Stern,3,Rot,1,x,x,x,x,x,x,x,x,x,x,x,x,x,Weiß,x,,,
43,,,Ecuador,1,,,,,1|0|0|0|x|0|3|3|x|x|x|x|x|x|x|x|x,3,1,0,0,0,x,0,3,3,x,x,x,x,x,x,x,x,x,Gelb|Blau|Rot,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
44,,,El Salvador,1,,,,,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,Blau|Weiß|Blau,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
45,,,Elfenbeinküste,1,,,,,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,Orange|Weiß|Grün,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
46,,,England,1,,,,,1|0|0|x|x|2|x|x|x|x|x|0|0|x|x|x|x,6,1,0,0,x,x,2,x,x,x,x,x,0,0,x,x,x,x,Weiß|Weiß|Weiß|Weiß|Rot,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
47,,,Eritrea,1,,,,,1|0|0|3|1|0|2|x|x|x|x|x|x|x|x|x|x,1,1,0,0,3,1,0,2,x,x,x,x,x,x,x,x,x,x,Grün|Hellblau (Blau),Zweig (Emblem),3,Gelb,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Rot,x,,,
48,,,Estland,1,,,,,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,Hellblau(Blau)|Schwarz|Weiß,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
49,,,Eswatini,1,,,,,1|0|0|0|x|0|5|x|2-1-3-1-2|x|x|x|x|x|x|x|x,3,1,0,0,0,x,0,5,x,2-1-3-1-2,x,x,x,x,x,x,x,x,Blau|Gelb|Rot|Gelb|Blau,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
50,,,Fidschi,1,big|5726|2284,,,,1|0|1|0|x|4|x|x|x|x|x|x|x|x|x|x|x,10,1,0,1,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Hellblau,Union Jack,0,x,x,Emblem,5,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
51,,,Finnland,1,,,,,1|0|0|x|x|2|x|x|x|x|x|0|0|x|x|x|x,6,1,0,0,x,x,2,x,x,x,x,x,0,0,x,x,x,x,Weiß|Weiß|Weiß|Weiß|Blau,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
52,,,Frankreich,,,,../images/pictures/flags96/France.jpg,France,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
53,,,Gabun,,,,../images/pictures/flags96/Gabon.jpg,Gabon,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
54,,,Gambia,1,,,,,1|0|0|0|x|0|5|x|3-1-2-1-3 (2-1-2-1-2)|x|x|x|x|x|x|x|x,1,1,0,0,0,x,0,5,x,3-1-2-1-3 (2-1-2-1-2),x,x,x,x,x,x,x,x,Rot|Weiß|Blau|Weiß|Grün,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
55,,,Georgien,1,,,,,1|0|0|x|x|2|x|x|x|x|x|0|0|x|x|x|x,6,1,0,0,x,x,2,x,x,x,x,x,0,0,x,x,x,x,Weiß|Weiß|Weiß|Weiß|Rot,Kreuz,9,Rot,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
56,,,Ghana,,,,../images/pictures/flags96/Ghana.jpg,Ghana,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Stern,4,Schwarz,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
57,,,Grenada,1,small|1792|1578,,,,1|1|0|x|x|2|x|x|x|x|x|1|3|x|x|x|x,1,1,1,0,x,x,2,x,x,x,x,x,1,3,x,x,x,x,Gelb|Grün|Gelb|Grün,Kreis,4,Rot,x,Stern,9,Gelb,7,Nuss,3,x,x,x,x,x,x,x,x,Rot,,,
58,,,Griechenland,,,,../images/pictures/flags96/Greece.jpg,Greece,1|0|1|0|x|0|9|x|x|x|x|x|x|x|x|x|x,2,1,0,1,0,x,0,9,x,x,x,x,x,x,x,x,x,x,,Kreuz,0,Weiß,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
59,,,Grönland,1,,,,,1|0|0|0|x|0|2|x|x|x|x|x|x|x|x|x|x,13,1,0,0,0,x,0,2,x,x,x,x,x,x,x,x,x,x,Weiß|Rot,Kreis,3,Rot|Weiß,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
60,,,Guam,,,,../images/pictures/flags96/Guam.jpg,Guam,1|1|0|0|x|0|2|x|x|x|x|x|x|x|x|x|x,2,1,1,0,0,x,0,2,x,x,x,x,x,x,x,x,x,x,,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Rot,,,
61,,,Guatemala,,,,../images/pictures/flags96/Guatemala.jpg,Guatemala,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
62,,,Guinea,,,,../images/pictures/flags96/Guinea.jpg,Guinea,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
63,,,Guinea-Bissau,,,,../images/pictures/flags96/Guinea-Bissau.jpg,Guinea-Bissau,1|0|0|0|x|5|x|x|x|x|x|x|x|x|x|2|x,3,1,0,0,0,x,5,x,x,x,x,x,x,x,x,x,2,x,,Stern,3,Schwarz,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
64,,,Guyana,1,,,,,1|0|0|3|4|4|x|x|x|x|x|x|x|x|x|x|x,1,1,0,0,3,4,4,x,x,x,x,x,x,x,x,x,x,x,Grün|Grün,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Rot|Schwarz|Gelb|Weiß,x,,,
65,,,Haiti,,,,../images/pictures/flags96/Haiti.jpg,Haiti,1|0|0|0|x|0|2|x|x|x|x|x|x|x|x|x|x,13,1,0,0,0,x,0,2,x,x,x,x,x,x,x,x,x,x,,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
66,,,Honduras,,,,../images/pictures/flags96/Honduras.jpg,Honduras,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Stern,4,Blau,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
67,,,Hongkong,1,small|4649|1346,,,,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Rot,Blume,4,Weiß,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
68,,,Indien,,,,../images/pictures/flags96/India.jpg,India,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Chakra,4,Blau,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
69,,,Indonesien,,,,../images/pictures/flags96/Indonesia.jpg,Indonesia,1|0|0|0|x|0|2|x|x|x|x|x|x|x|x|x|x,13,1,0,0,0,x,0,2,x,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
70,,,Irak,,,,../images/pictures/flags96/Iraq.jpg,Iraq,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Schrift,4,Grün,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
71,,,Iran,,,,../images/pictures/flags96/Iran.jpg,Iran,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Emblem,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
72,,,Irland,,,,../images/pictures/flags96/Ireland.jpg,Ireland,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
73,,,Island,1,,,,,1|0|0|x|x|2|x|x|x|x|x|0|2|x|x|x|x,2,1,0,0,x,x,2,x,x,x,x,x,0,2,x,x,x,x,Blau|Weiß|Rot,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
74,,,Israel,,,,../images/pictures/flags96/Israel.jpg,Israel,1|0|0|0|x|0|5|x|1-2-3-2-1|x|x|x|x|x|x|x|x,1,1,0,0,0,x,0,5,x,1-2-3-2-1,x,x,x,x,x,x,x,x,,Stern,4,Blau,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
75,,,Italien,,,,../images/pictures/flags96/Italy.jpg,Italy,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
76,,,Jamaika,,,,../images/pictures/flags96/Jamaica.jpg,Jamaica,1|0|0|x|x|2|x|x|x|x|x|1|0|x|x|x|x,3,1,0,0,x,x,2,x,x,x,x,x,1,0,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
77,,,Japan,,,,,,1|0|0|0|x|4|x|x|x|x|x|x|x|x|x|x|x,24,1,0,0,0,x,4,x,x,x,x,x,x,x,x,x,x,x,Weiß,Kreis,4,Rot,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
78,,,Jemen,,,,../images/pictures/flags96/Yemen.jpg,Yemen,1|0|0|0|x|0|3|0|x|x|x|x|x|x|x|x|x,38,1,0,0,0,x,0,3,0,x,x,x,x,x,x,x,x,x,,Keine,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
79,,,Jordanien,,,,../images/pictures/flags96/Jordan.jpg,Jordan,1|0|0|1|1|0|3|0|x|x|x|x|x|x|x|x|x,6,1,0,0,1,1,0,3,0,x,x,x,x,x,x,x,x,x,,Stern,3,Weiß,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
80,,,Kambodscha,1,,,,,1|0|0|0|x|0|3|1|x|x|x|x|x|x|x|x|x,8,1,0,0,0,x,0,3,1,x,x,x,x,x,x,x,x,x,Blau|Rot|Blau,Gebäude (Emblem),4,Weiß,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
81,,,Kamerun,,,,../images/pictures/flags96/Cameroon.jpg,Cameroon,1|0|0|0|x|1|x|x|x|3|0|x|x|x|x|x|x,20,1,0,0,0,x,1,x,x,x,3,0,x,x,x,x,x,x,,Stern,4,Gelb,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
82,,,Kanada,1,,,,,1|0|0|0|x|1|x|x|x|3|1|x|x|x|x|x|x,2,1,0,0,0,x,1,x,x,x,3,1,x,x,x,x,x,x,Rot|Weiß|Rot,Blatt,4,Rot,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
